ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10001295,HY190936,3/19/2015 6:55,036XX N LARAMIE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,OTHER,FALSE,FALSE,1634,16,38,15,14,1141056,1923536,2015,2/10/2018 15:50,41.94626483,-87.75692927,"(41.946264827, -87.756929273)"
10001298,HY190857,3/19/2015 16:47,036XX W HIRSCH ST,460,BATTERY,SIMPLE,STREET,TRUE,TRUE,2535,25,26,23,08B,1151600,1909065,2015,2/10/2018 15:50,41.90635406,-87.71855398,"(41.906354055, -87.718553977)"
10001299,HY190771,3/19/2015 11:00,046XX W NORTH AVE,860,THEFT,RETAIL THEFT,DEPARTMENT STORE,FALSE,FALSE,2533,25,37,25,6,1145011,1910225,2015,2/10/2018 15:50,41.90966425,-87.74272882,"(41.909664252, -87.742728815)"
10001300,HY189891,3/18/2015 19:50,045XX S LAWLER AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,FALSE,TRUE,814,8,23,56,08B,1143453,1874164,2015,2/10/2018 15:50,41.81073739,-87.74935337,"(41.810737392, -87.749353374)"
10001301,HY190850,3/19/2015 14:30,012XX N WELLS ST,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,1821,18,43,8,6,1174486,1908546,2015,2/10/2018 15:50,41.90444903,-87.63450085,"(41.904449028, -87.634500846)"
10001303,HY190662,3/18/2015 13:49,057XX S AUSTIN AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,FALSE,FALSE,811,8,23,56,11,1137361,1865901,2015,2/10/2018 15:50,41.78817372,-87.77189663,"(41.78817372, -87.771896627)"
10001304,HY190767,3/19/2015 15:00,041XX W WILCOX ST,313,ROBBERY,ARMED: OTHER DANGEROUS WEAPON,STREET,FALSE,FALSE,1115,11,28,26,3,1148916,1899016,2015,2/10/2018 15:50,41.87883089,-87.72867356,"(41.87883089, -87.728673561)"
10001305,HY190953,3/19/2015 17:45,087XX S ELIZABETH ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,TRUE,FALSE,2222,22,21,71,18,1169520,1846795,2015,2/10/2018 15:50,41.7351076,-87.65453415,"(41.735107597, -87.654534145)"
10165285,HY353339,7/24/2015 0:00,021XX S ALLPORT ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,1235,12,25,31,14,1168363,1890056,2015,2/10/2018 15:50,41.85384576,-87.65752698,"(41.85384576, -87.657526977)"
10001306,HY190742,3/19/2015 15:21,041XX W ARTHINGTON ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,1132,11,24,26,08B,1148733,1895788,2015,2/10/2018 15:50,41.86997642,-87.7294289,"(41.86997642, -87.729428901)"
10001307,HY190683,3/5/2015 2:00,050XX W CRYSTAL ST,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,2533,25,37,25,6,1142515,1907851,2015,2/10/2018 15:50,41.90319653,-87.75195728,"(41.903196526, -87.751957281)"
10001309,HY190864,3/19/2015 16:30,051XX S HOYNE AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,TRUE,FALSE,932,9,16,61,7,1163223,1870715,2015,2/10/2018 15:50,41.80088138,-87.67693507,"(41.800881379, -87.676935066)"
10001310,HY190828,3/19/2015 16:09,038XX W 62ND ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,TRUE,TRUE,823,8,13,65,08B,1151788,1863216,2015,2/10/2018 15:50,41.78053497,-87.71906797,"(41.780534965, -87.719067965)"
10001311,HY190951,3/17/2015 15:00,069XX S JUSTINE ST,281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE,FALSE,FALSE,734,7,17,67,2,1167202,1858723,2015,2/10/2018 15:50,41.76788954,-87.66268573,"(41.767889544, -87.662685731)"
10001312,HY190955,3/19/2015 17:45,062XX S CAMPBELL AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,VEHICLE NON-COMMERCIAL,FALSE,TRUE,825,8,15,66,08B,1160774,1863263,2015,2/10/2018 15:50,41.78048307,-87.68612216,"(41.780483067, -87.686122155)"
10001314,HY190990,3/17/2015 10:00,024XX W 63RD ST,820,THEFT,$500 AND UNDER,APARTMENT,FALSE,FALSE,825,8,15,66,6,1160999,1862810,2015,2/10/2018 15:50,41.77923532,-87.68530978,"(41.779235322, -87.685309777)"
10001315,HY190829,3/19/2015 15:50,081XX S MARSHFIELD AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,FALSE,TRUE,614,6,21,71,14,1166759,1850696,2015,2/10/2018 15:50,41.74587182,-87.66453826,"(41.74587182, -87.664538263)"
10001316,HY190840,3/19/2015 14:37,040XX W GRENSHAW ST,460,BATTERY,SIMPLE,RESIDENCE,FALSE,TRUE,1132,11,24,29,08B,1149695,1894737,2015,2/10/2018 15:50,41.86707373,-87.72592438,"(41.867073727, -87.725924382)"
10001317,HY190826,3/19/2015 16:20,075XX S RACINE AVE,460,BATTERY,SIMPLE,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,612,6,17,71,08B,1169629,1854690,2015,2/10/2018 15:50,41.7567702,-87.65390643,"(41.756770198, -87.653906431)"
10001321,HY190844,3/19/2015 16:25,039XX W DIVERSEY AVE,560,ASSAULT,SIMPLE,STREET,FALSE,FALSE,2523,25,30,21,08A,1149421,1918323,2015,2/10/2018 15:50,41.93180144,-87.72631763,"(41.931801441, -87.726317628)"
